goal,KNeighborsRegressor,LinearRegression,SVR,RandomForestRegressor,DecisionTreeRegressor
0,1.00860133460541,1.91316399009042,0.696367653892254,1.04827520770972,1.39402348394768
1,1.15811602461819,1.96801435246178,0.880816534527729,1.08564310798946,1.48967889908257
2,0.966975395213335,2.97877095542617,0.718745070794936,1.30221778144486,1.617815947833
3,0.827097268673355,1.10963978820106,0.750550020764164,0.689490798705704,0.838559406932478
4,1.12198289515363,1.95254689956553,1.02027864295609,1.11162388442613,1.17715720389376
5,1.44217594459334,2.90611722754844,0.852619870207715,1.54795982142857,2.13798701298701
6,0.863547572415041,1.31017273405954,0.636888755898663,0.802876434311534,0.914465924624097
,,,,,
,,,,,
goal,KNN,LNR,SVR,RF,CART
0,101,191,70,105,139
1,116,197,88,109,149
2,97,298,72,130,162
3,83,111,75,69,84
4,112,195,102,111,118
5,144,291,85,155,214
6,86,131,64,80,91
