sa,sa_md,sd,mar,mdar,sdar,mmre,mdmre,pred,dataset,goal,model,tuner
0.04632512,0.228991597,0.183662799,38.66709957,26.21428571,37.32227669,inf,0.534561762,0.304347826,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.147079613,0.31372549,0.179359045,34.5819715,23.33333333,37.51904082,inf,0.479017857,0.326086957,project0103.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.107611075,0.254901961,-0.076076084,10.85417167,6.705882353,14.47648481,inf,0.323170732,0.333333333,project0244.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.057735448,0.111111111,-0.012659306,12.8652898,8,13.62333694,inf,0.544715447,0.230769231,project0244.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.400941583,0.559014515,0.186497368,20.99608482,12.34759358,23.64001734,0.425152196,0.209317791,0.552631579,project0317.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.30600215,0.488095238,0.10311013,24.3235673,14.33333333,26.06321265,0.479351718,0.226370851,0.526315789,project0317.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.348857344,0.197916667,0.468428286,41.14446675,25.66666667,41.93262715,inf,0.845833333,0.2,project0319.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.310122736,0.432692308,0.377754002,43.592033,18.15384615,49.08539848,inf,0.833333333,0.127272727,project0319.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.412582482,0.578947368,0.424350535,25.96264141,16,24.61660599,0.842678537,0.393877551,0.358490566,project0503.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.519593224,0.581081081,0.555569804,21.23298757,15.5,19.00525178,0.691223907,0.36875,0.301886792,project0503.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.37137224,0.431089744,0.343457556,28.11265039,22.1875,22.13271755,0.831566333,0.269210441,0.464285714,project0504.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.338755571,0.418323864,0.355976522,29.57128945,23.26704545,21.71069039,0.77509754,0.296762709,0.464285714,project0504.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.378906938,0.475,0.281854745,23.10642061,13.125,26.42006523,2.882073273,0.538461538,0.263157895,project0570.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.354290242,0.376,0.293399045,24.02223141,15.6,25.99535846,2.189418336,0.584876543,0.210526316,project0570.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.42530831,0.63671875,0.373010749,33.11802544,11.625,60.50721033,inf,2.8984375,0.081081081,project0597.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.489582162,0.6171875,0.4109051,29.41408627,12.25,56.85023942,inf,1.322222222,0.135135135,project0597.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.414968711,0.485,0.537391503,35.27446158,25.75,27.40637173,0.34416003,0.241370838,0.525,project0625.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.380369434,0.50775,0.448111198,37.360625,24.6125,32.69561572,0.374143955,0.249366126,0.5,project0625.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.125141462,-0.1171875,0.293090169,54.30483515,35.75,72.01105584,1.588530691,0.625480044,0.232142857,project0630.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.062641014,0.23875,0.082306983,58.18440693,24.36,93.48298771,1.558401247,0.486033755,0.321428571,project0630.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.277871501,0.227484472,0.416225852,19.57705316,17.76785714,15.32348147,inf,0.914893617,0.307692308,project0669.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.302906674,0.375,0.452985759,18.89834444,14.375,14.35857105,inf,0.74017094,0.211538462,project0669.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
